Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
2026-06-02 19:12:00,67334.83,67372.08,67334.82,67365.47,20.32919,2026-06-02 19:12:59.999,1369287.6718933,2911,16.32992,1099903.5982984
2026-06-02 19:13:00,67365.46,67365.47,67313.49,67338.01,10.34575,2026-06-02 19:13:59.999,696541.3237771,2796,5.69924,383667.4771518
2026-06-02 19:14:00,67338.01,67344.9,67334.0,67344.89,8.69553,2026-06-02 19:14:59.999,585513.0084463,848,7.80437,525505.8399988
2026-06-02 19:15:00,67344.9,67372.93,67326.92,67328.78,11.89775,2026-06-02 19:15:59.999,801370.0851315,2637,7.82346,526969.9976636
2026-06-02 19:16:00,67328.78,67328.78,67244.0,67258.0,11.14047,2026-06-02 19:16:59.999,749417.9441771,2785,4.08724,274858.9111341
2026-06-02 19:17:00,67258.0,67258.0,67208.0,67212.65,11.46831,2026-06-02 19:17:59.999,770929.12152,2871,1.73177,116406.4177132
2026-06-02 19:18:00,67212.65,67217.35,67169.94,67195.98,20.15469,2026-06-02 19:18:59.999,1354298.3080705,3938,9.32072,626364.0576613
2026-06-02 19:19:00,67195.97,67212.65,67183.61,67183.62,12.36823,2026-06-02 19:19:59.999,831194.369712,2385,5.97896,401800.8621798
2026-06-02 19:20:00,67183.61,67183.61,67133.55,67179.65,35.10344,2026-06-02 19:20:59.999,2357542.7080385,3865,22.87671,1536430.9989394
2026-06-02 19:21:00,67179.65,67220.0,67168.0,67218.59,13.4073,2026-06-02 19:21:59.999,900840.7211758,3466,8.54462,574115.3805945
2026-06-02 19:22:00,67218.6,67240.0,67211.26,67225.86,11.64659,2026-06-02 19:22:59.999,782931.6445518,2961,6.44538,433270.1769397
2026-06-02 19:23:00,67225.86,67236.0,67170.0,67170.01,11.03379,2026-06-02 19:23:59.999,741496.2604916,2389,4.83189,324748.7675622
2026-06-02 19:24:00,67170.0,67170.01,67100.22,67100.22,18.37071,2026-06-02 19:24:59.999,1233020.6685107,4177,3.48118,233668.3417763
2026-06-02 19:25:00,67100.22,67169.46,67080.19,67164.01,35.86967,2026-06-02 19:25:59.999,2407133.8665389,5915,16.50143,1107422.8228234
2026-06-02 19:26:00,67164.01,67188.72,67144.0,67184.0,7.33884,2026-06-02 19:26:59.999,492894.0680876,2130,4.5613,306344.5183781
2026-06-02 19:27:00,67184.0,67184.0,67051.0,67051.0,35.44325,2026-06-02 19:27:59.999,2378375.6098512,2419,2.16012,145075.1867321
2026-06-02 19:28:00,67051.0,67057.51,66932.0,67042.0,292.05432,2026-06-02 19:28:59.999,19566612.6303959,19079,93.74137,6279468.3084636
2026-06-02 19:29:00,67042.0,67046.31,66967.21,66978.2,54.91626,2026-06-02 19:29:59.999,3679418.5604164,6517,24.31634,1629056.0991246
2026-06-02 19:30:00,66978.21,67018.0,66890.31,66893.98,41.13759,2026-06-02 19:30:59.999,2754612.0095006,10313,13.7812,922911.3534294
2026-06-02 19:31:00,66893.99,66893.99,66656.01,66681.29,263.12479,2026-06-02 19:31:59.999,17558676.3847561,24245,61.36976,4096213.4121844
2026-06-02 19:32:00,66681.3,66785.51,66681.29,66725.37,33.19598,2026-06-02 19:32:59.999,2215237.5485882,9943,9.93411,662854.7130786
2026-06-02 19:33:00,66725.37,66758.57,66432.0,66572.69,400.55788,2026-06-02 19:33:59.999,26645084.7004525,24555,96.37779,6411552.4863569
2026-06-02 19:34:00,66572.69,66654.97,66555.81,66590.0,49.398,2026-06-02 19:34:59.999,3290617.9294773,9509,22.6416,1508089.5918648
2026-06-02 19:35:00,66590.01,66654.97,66583.34,66647.18,21.80081,2026-06-02 19:35:59.999,1452744.6601364,6710,12.0124,800503.3692008
2026-06-02 19:36:00,66647.18,66723.14,66647.18,66723.14,26.86003,2026-06-02 19:36:59.999,1791278.0164615,5996,17.84249,1189950.4781439
2026-06-02 19:37:00,66723.14,66799.99,66722.87,66789.8,69.75901,2026-06-02 19:37:59.999,4657420.9176224,5502,34.44966,2299724.1454607
2026-06-02 19:38:00,66789.8,66816.39,66745.84,66760.01,37.72253,2026-06-02 19:38:59.999,2519098.8006215,6239,22.99992,1535896.9561922
2026-06-02 19:39:00,66760.01,66811.67,66760.01,66773.66,20.61794,2026-06-02 19:39:59.999,1377119.3109304,3594,15.5237,1036865.6725507
2026-06-02 19:40:00,66773.66,66800.0,66709.2,66737.59,20.06373,2026-06-02 19:40:59.999,1339302.4998108,5503,9.76508,651810.3565006
2026-06-02 19:41:00,66737.59,66737.59,66638.93,66659.31,32.52649,2026-06-02 19:41:59.999,2168499.7316845,5267,12.03884,802487.6651904
